ID Produto,Nome Produto,Quantidade Vendida,Preco Unitario,Data da Venda
1,Calça Jeans,18,33.34,2021-08-27
8,Sapato Social,16,54.46,2021-10-30
1,Calça Jeans,13,75.67,2021-03-13
2,Camisa Gola Polo,11,25.98,2021-09-29
10,Camisa Manga Longa,3,39.28,2021-03-04
10,Calça Jeans,15,75.02,2021-04-13
8,Camisa Manga Longa,1,28.56,2021-04-07
2,Camisa Manga Longa,17,14.05,2021-05-13
6,Calça Jeans,20,26.56,2021-03-09
3,Calça Jeans,3,54.08,2021-11-29
7,Sapato Social,7,25.8,2021-07-05
10,Camisa Gola Polo,2,37.27,2021-05-10
1,Calça Jeans,11,72.05,2021-06-26
7,Camiseta Básica,13,42.97,2021-03-01
3,Camiseta Básica,8,56.62,2021-08-14
7,Camisa Gola Polo,9,43.3,2021-06-03
6,Camisa Gola Polo,11,32.3,2021-05-30
2,Camiseta Básica,11,60.51,2021-09-18
4,Camisa Gola Polo,16,62.3,2021-03-04
2,Camisa Gola Polo,12,29.21,2021-11-11
5,Camisa Gola Polo,3,93.52,2021-04-25
9,Camisa Manga Longa,18,39.38,2021-06-20
10,Camiseta Básica,11,44.37,2021-10-19
2,Camisa Manga Longa,2,37.44,2021-07-14
7,Camisa Gola Polo,6,82.85,2021-07-15
8,Camisa Manga Longa,10,25.56,2021-01-27
1,Camisa Manga Longa,18,29.15,2021-05-29
5,Calça Jeans,19,94.63,2021-05-20
7,Calça Jeans,15,57.21,2021-07-27
10,Camisa Manga Longa,12,80.24,2021-04-18
4,Sapato Social,12,70.09,2021-01-14
8,Camisa Gola Polo,19,47.87,2021-02-28
9,Camisa Manga Longa,11,25.31,2021-05-19
4,Calça Jeans,11,40.99,2021-10-10
3,Sapato Social,3,17.45,2021-03-07
10,Sapato Social,18,32.38,2021-05-23
4,Sapato Social,2,59.06,2021-05-26
6,Camisa Gola Polo,1,12.46,2021-11-23
4,Camisa Gola Polo,1,93.42,2021-11-28
3,Camiseta Básica,20,15.43,2021-12-02
8,Camiseta Básica,10,24.83,2021-07-24
1,Camisa Gola Polo,12,36.41,2021-10-27
5,Camiseta Básica,11,44.98,2021-12-02
10,Sapato Social,18,13.96,2021-07-26
4,Sapato Social,13,94.35,2021-06-29
2,Camisa Manga Longa,7,81.01,2021-08-01
10,Calça Jeans,13,49.81,2021-07-01
8,Camisa Manga Longa,3,57.35,2021-01-31
2,Camisa Manga Longa,18,71.22,2021-06-21
4,Camisa Manga Longa,13,85.75,2021-07-02
7,Calça Jeans,12,88.74,2021-05-30
4,Calça Jeans,8,68.8,2021-08-07
10,Camisa Manga Longa,1,87.92,2021-05-03
10,Sapato Social,2,30.18,2021-10-02
1,Sapato Social,14,63.07,2021-02-18
7,Camisa Gola Polo,16,89.36,2021-08-18
8,Sapato Social,20,42.45,2021-08-08
3,Camiseta Básica,15,67.61,2021-09-05
7,Camisa Gola Polo,14,55.83,2021-08-11
1,Camisa Gola Polo,7,10.58,2021-11-01
8,Calça Jeans,17,57.72,2021-08-17
8,Camisa Manga Longa,14,68.77,2021-07-15
4,Camisa Manga Longa,5,15.41,2021-04-03
5,Calça Jeans,16,38.26,2021-09-23
2,Camiseta Básica,20,35.32,2021-05-09
9,Camiseta Básica,8,40.13,2021-04-19
7,Sapato Social,19,41.59,2021-08-26
6,Camisa Gola Polo,11,54.12,2021-11-13
8,Sapato Social,14,90.72,2021-10-24
6,Camiseta Básica,8,83.91,2021-02-14
7,Camisa Manga Longa,6,64.43,2021-05-09
8,Sapato Social,16,33.48,2021-01-20
9,Camisa Manga Longa,8,17.34,2021-10-29
8,Sapato Social,6,94.99,2021-11-08
8,Camisa Gola Polo,4,22.4,2021-06-06
8,Camiseta Básica,10,38.55,2021-02-02
5,Calça Jeans,18,31.8,2021-09-27
5,Sapato Social,5,74.78,2021-11-20
6,Calça Jeans,4,34.25,2021-07-10
